2413,C
4907,E
3670,E
10726,B
1945,C
5064,E
4895,C
9475,D
3113,B
9272,C
9060,A
8256,E
7672,D
8417,B
7027,C
3123,A
3807,B
9382,A
1397,C
10145,A
1545,D
2736,D
9256,B
1748,D
4062,D
8943,A
4897,C
2062,E
9408,B
4032,E
7658,B
7154,A
84,A
9585,D
7626,A
10332,C
4006,C
9480,C
796,A
8418,B
9569,D
3564,E
9424,A
9748,C
3996,E
8772,B
3158,D
4202,E
3053,B
3160,E
3161,C
9731,B
8538,A
8818,C
9966,D
2429,D
3164,E
4909,D
1728,B
3583,B
2142,A
11358,C
3828,D
8244,A
8157,D
11386,C
8922,A
9496,C
8517,D
1885,B
2269,E
8110,B
2581,E
9775,D
9412,B
8009,A
4181,D
9197,C
3034,E
9281,B
3528,E
2803,E
7535,D
3953,D
8468,B
4242,E
7015,E
8422,B
9098,D
4080,D
9419,A
4182,B
3706,C
7033,C
9210,C
1941,B
8209,E
4190,E
3998,C
6315,C
6899,D
7504,D
3668,A
3455,D
2792,D
8611,A
9139,B
10175,D
2598,A
5006,D
8910,B
9467,B
10077,C
7796,E
3533,B
2184,C
3963,D
4078,A
9567,D
9340,E
4235,C
3545,A
618,E
6928,B
3590,E
2124,C
7037,E
1065,C
9128,B
3829,C
8435,A
3852,A
8932,C
8455,B
8708,D
3976,C
3443,A
7114,B
9071,C
7180,A
7329,C
8741,C
9132,A
2738,E
2631,D
2209,E
11417,C
10042,C
6332,E
7675,B
2212,C
2334,E
3138,E
4031,E
2633,B
9368,B
4212,C
7854,A
9235,D
8964,C
8890,A
9628,A
9688,A
9037,B
10479,A
8542,B
4036,E
1617,E
9105,A
9433,D
8609,A
2218,D
9346,A
7749,B
69,C
11061,C
9138,A
9222,A
9112,D
2010,A
9605,A
4029,E
9716,D
821,A
3330,B
2881,A
2645,E
3095,C
2514,B
3585,E
2230,D
9360,C
8899,E
10146,B
3513,C
2086,D
3061,E
9231,C
9459,D
3449,D
7006,D
8652,B
3102,E
9011,C
9521,C
2657,C
4155,B
9768,E
9506,A
3437,E
8091,A
9145,C
8936,B
11166,C
7905,E
8909,A
2968,A
8152,D
8300,E
1640,E
7858,E
9451,A
8707,B
8739,C
9436,D
8343,D
7059,E
9263,B
8458,B
8606,A
3439,C
3847,A
7935,D
7771,E
3318,A
9330,B
4924,B
2036,B
8799,B
2680,C
3109,D
2271,C
8665,B
8986,C
7017,E
8128,B
2684,E
3360,C
5050,E
2353,B
8097,B
7650,B
9717,D
8350,A
3525,D
9370,B
8737,C
10030,A
4773,D
6358,C
7055,C
9760,B
7640,C
2570,E
9029,D
3960,B
3416,E
10314,A
9916,D
1882,E
7679,C
2400,A
3060,C
1981,E
3969,D
3064,C
2311,E
9766,D
4165,E
7637,C
2790,D
3493,D
8969,B
9627,E
9529,B
6963,A
8469,A
8383,A
3310,D
8877,A
2560,B
3531,E
1678,D
3422,D
9321,A
1088,A
2562,A
3799,E
2018,E
4178,B
8465,A
10137,E
8651,D